Rider,Pole positions from '74 to 2022,Race fastest lap to 2022,World Championships
Giacomo Agostini,9,117,15
Valentino Rossi,65,96,9
Angel Nieto,34,81,13
Marc Marquez,90,75,8
Jorge Lorenzo,69,37,5
Dani Pedrosa,49,64,3
Mick Doohan,58,46,5
Phil Read,5,36,7
Casey Stoner,43,33,2
Max Biaggi,56,42,4
Anton Mang,34,26,5
Jorge Martinez,42,11,4
Luca Cadalora,29,30,3
Eddie Lawson,18,21,4
Kork Ballington,19,16,4
Loris Capirossi,41,32,3
Eugenio Lazzarini,35,15,3
Pierpaolo Bianchi,32,25,3
Freddie Spencer,33,24,3
Maverick Viñales,24,22,1
Kevin Schwantz,29,26,1
Andrea Dovizioso,20,22,1
Wayne Rainey,16,23,3
Kenny Roberts,22,27,3
Walter Villa,21,20,4
Barry Sheene,19,20,2
Marco Melandri,9,16,1
Fausto Gresini,17,13,2
Alex Criville,12,20,2
Carlos Lavado,22,13,2
Ricardo Tormo,23,4,2
Wayne Gardner,19,19,1
Kent Andersson,4,9,2
Tetsuya Harada,21,21,1
Thomas Luthi,12,19,1
Toni Elias,12,12,1
Brad Binder,7,12,1
Daijiro Kato,11,11,1
Johann Zarco,26,19,2
Nicolas Terol,9,8,1
Alvaro Bautista,18,22,1
Sito Pons,4,12,2
Pol Espargaro,20,16,1
Johnny Cecotto,22,7,1
Francesco Bagnaia,13,11,1
Marco Simoncelli,15,9,1
Dirk Raudies,8,9,1
John Kocinski,20,15,1
Tito Rabat,16,11,1
Alex Marquez,15,17,2
Manuel Poggiali,11,7,2
Joan Mir,2,7,2
Kazuto Sakata,29,19,2
Takazumi Katayama,5,6,1
Jorge Martin,27,8,1
Franco Morbidelli,8,14,1
Fabio Quartararo,19,12,1
Hiroshi Aoyama,8,11,1
Gabor Talmacsi,11,9,1
Roberto Locatelli,18,10,1
Haruchika Aoki,6,5,2
Enea Bastianini,9,8,1
Julian Simon,10,12,1
Olivier Jacque,17,9,1
Christian Sarron,11,10,1
Sandro Cortese,10,11,1
Stefan Bradl,8,5,1
Arnaud Vincent,4,1,1
Franco Uncini,8,3,1
Remy Gardner,6,5,1
Marco Lucchinelli,9,9,1
Pedro Acosta,1,1,1
Lorenzo Dalla porta,1,3,1
Mike Di meglio,3,4,1
Emilio Alzamora,1,5,1
Nicky Hayden,5,7,1
